symptom_name,ui_symptom_name,ktas_level,대학병원 1,대학병원 2,부속병원 1,부속병원 2,대학병원 3,종합병원 1,종합병원 2,종합병원 3,중앙병원 1,중앙병원 2,중앙병원 3,제일병원 1,제일병원 2,제일병원 3,제일병원 4,의료원 1,의료원 2,의료원 3,연합의원 1,연합의원 2,연합의원 3,병원 1,병원 2,병원 3,병원 4
출혈_대량 출혈,지혈 안 되는 출혈 및 계속되는 각혈,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
출혈_급성 위장관 출혈,위장관 출혈 (피를 토하거나 피변),2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
안과_안과적 응급,화학물질 눈 손상 및 급성 시력 상실,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
알러지_급성 알러지,얼굴 부종을 동반한 아나필락시스 쇼크,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
소아과_소아 경련,소아 중증 경련 및 발작,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
정신과_정신과적 응급,자타해 위험이 높은 정신장애 쇼크,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
중독·대사_심한 탈수,심한 탈수 상태,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
준응급_경미한 의식장애,경미한 의식장애 (단순 졸음/혼돈),3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
준응급_일반 호흡곤란,일반 호흡곤란 (안정 시 완화),3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
준응급_일반 복통,배 전체의 전반적인 이상 및 복통,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
준응급_출혈 및 혈관손상,경미한 출혈 및 외상,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
준응급_소아 열성경련,소아 단순 열성 경련,3,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
준응급_산부인과 응급,일반 분만 진통 및 산부인과 처치,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
준응급_일반 화상,일반 화상 (표면적 18% 미만),4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
준응급_단순 골절,단순 골절 및 탈구 (폐쇄성),4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
준응급_배뇨장애,급성 소변 차단 및 배뇨통,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
준응급_소아 고열,"소아 고열 (3세 이하, 38도 이상)",4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
준응급_이물질,신체 이물질 침입 (귀/코/항문 등 체내),4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
